frame,timestamp_s,yolo_ms,detections
0,1305031453.359684,13.545852998504415,2
1,1305031453.39169,16.131652999320067,4
2,1305031453.423683,18.458970997016877,5
3,1305031453.459685,16.437931000837125,4
4,1305031453.491698,17.309673006820958,4
5,1305031453.523684,21.47416100342525,4
6,1305031453.559753,16.530228000192437,3
7,1305031453.59164,15.386318998935167,4
8,1305031453.627706,19.67630699800793,4
9,1305031453.6596,17.261913999391254,3
10,1305031453.691678,13.374148998991586,3
11,1305031453.727652,18.768804999126587,3
12,1305031453.759694,14.453131996560842,1
13,1305031453.791716,16.686820999893826,2
14,1305031453.827773,13.460094000038225,2
15,1305031453.859705,18.60236000356963,2
16,1305031453.89171,17.17122900299728,0
17,1305031453.927723,15.520836997893639,3
18,1305031453.959641,19.952361995819956,5
19,1305031453.991624,16.92761700542178,4
20,1305031454.027662,15.453429994522594,4
21,1305031454.059654,17.761395996785723,5
22,1305031454.091651,18.998972002009396,5
23,1305031454.127701,13.962354001705535,4
24,1305031454.159672,14.999020997493062,6
25,1305031454.191658,14.158019999740645,2
26,1305031454.227671,16.831617002026178,1
27,1305031454.259627,13.313333998667076,4
28,1305031454.291639,17.124468999099918,4
29,1305031454.327699,16.613487001450267,3
30,1305031454.359636,18.080897003528662,4
31,1305031454.391677,17.38610000029439,3
32,1305031454.427465,17.56808099889895,2
33,1305031454.459913,16.75081999565009,7
34,1305031454.491617,14.267927996115759,6
35,1305031454.5277,15.862540996749885,6
36,1305031454.559575,18.78326800215291,5
37,1305031454.591635,16.36519000021508,3
38,1305031454.62758,14.860039998893626,2
39,1305031454.659528,15.306929002690595,1
40,1305031454.691884,16.220615994825494,3
41,1305031454.727659,15.532689001702238,1
42,1305031454.759732,15.584485001454595,7
43,1305031454.791641,16.623969000647776,8
44,1305031454.82757,15.545262998784892,4
45,1305031454.85962,17.788600001949817,5
46,1305031454.891764,18.631285995070357,4
47,1305031454.927567,15.295263001462445,4
48,1305031454.959648,20.800325997697655,4
49,1305031454.991937,18.149581999750808,6
50,1305031455.027799,15.7359670047299,5
51,1305031455.059636,14.004112999828067,5
52,1305031455.0917,14.173761999700218,7
53,1305031455.127695,15.47183700313326,4
54,1305031455.15972,16.489820001879707,4
55,1305031455.191655,18.696211998758372,5
56,1305031455.227581,13.798724001389928,4
57,1305031455.259631,14.995855002780445,3
58,1305031455.291831,17.244877002667636,4
59,1305031455.327766,14.245835001929663,4
60,1305031455.35963,13.736150001932401,2
61,1305031455.391665,16.424876004748512,3
62,1305031455.427642,17.235062005056534,3
63,1305031455.459589,12.721610997687094,2
64,1305031455.491637,15.317947996663861,5
65,1305031455.52761,17.017988000588957,5
66,1305031455.559669,14.91955899837194,4
67,1305031455.591645,17.576395999640226,5
68,1305031455.627617,16.063486000348348,7
69,1305031455.659615,16.602061004959978,7
70,1305031455.691605,14.004741999087855,6
71,1305031455.727628,15.476207001484,5
72,1305031455.759683,19.95043599890778,6
73,1305031455.791666,13.372167995839845,6
74,1305031455.82759,17.123875994002447,7
75,1305031455.859526,15.049224995891564,7
76,1305031455.891657,13.713111999095418,6
77,1305031455.927955,17.90952499868581,6
78,1305031455.959716,13.821168002323247,5
79,1305031455.991694,16.04117100214353,5
80,1305031456.02777,17.07376600097632,5
81,1305031456.059713,14.842984004644677,6
82,1305031456.091707,15.205393006908707,7
83,1305031456.127645,14.198798999132123,5
84,1305031456.159731,18.64398999896366,5
85,1305031456.191658,14.307464996818453,7
86,1305031456.227678,20.180954998068046,7
87,1305031456.291675,15.426688994921278,6
88,1305031456.327718,16.357005006284453,6
89,1305031456.391619,16.049837999162264,9
90,1305031456.427662,18.675860002986155,8
91,1305031456.491677,18.42271100031212,8
92,1305031456.527641,16.305709003063384,6
93,1305031456.591651,14.188465000188444,5
94,1305031456.627612,17.69734000117751,3
95,1305031456.691612,35.17218100023456,5
96,1305031456.727693,39.42900099355029,4
97,1305031456.791649,28.36722599749919,4
98,1305031456.827603,24.713610000617336,4
99,1305031456.891672,17.24900599947432,4
100,1305031456.92769,24.510942996130325,3
101,1305031456.959667,16.412504999607336,1
102,1305031456.991709,16.119337997224648,2
103,1305031457.027648,17.559357998834457,5
104,1305031457.091655,18.062285002088174,1
105,1305031457.127632,16.003318996808957,2
106,1305031457.191735,19.748231999983545,3
107,1305031457.227543,17.25574699958088,4
108,1305031457.291656,16.976412996882573,4
109,1305031457.327548,24.154719001671765,5
110,1305031457.391684,29.598284003441222,3
111,1305031457.427641,30.101803000434302,4
112,1305031457.491705,37.349794001784176,3
113,1305031457.527638,29.988506001245696,2
114,1305031457.559685,35.981847999210004,3
115,1305031457.591678,17.032839001331013,3
116,1305031457.627526,17.804711002099793,4
117,1305031457.659632,17.485766002209857,4
118,1305031457.69157,18.15887800330529,3
119,1305031457.727669,16.036410997912753,2
120,1305031457.759556,19.42771299945889,2
121,1305031457.791567,18.41386000160128,0
122,1305031457.827699,16.214912000577897,2
123,1305031457.859623,21.759678995294962,3
124,1305031457.891593,16.601023002294824,0
125,1305031457.927633,17.04906100349035,1
126,1305031457.991644,16.50006000272697,1
127,1305031458.027845,18.597044996568002,2
128,1305031458.059689,14.626076001150068,5
129,1305031458.09169,16.539060001377948,4
130,1305031458.127605,17.54074700147612,6
131,1305031458.159638,16.246485996816773,4
132,1305031458.191646,19.271305005531758,3
133,1305031458.227611,15.944688995659817,3
134,1305031458.259934,17.352618000586517,1
135,1305031458.291664,21.167047998460475,0
136,1305031458.327628,17.179080001369584,1
137,1305031458.35959,17.5512100031483,0
138,1305031458.391626,16.875356996024493,2
139,1305031458.427598,20.739380997838452,3
140,1305031458.459637,21.602678003546316,1
141,1305031458.491696,18.70761899772333,0
142,1305031458.527737,16.068949000327848,4
143,1305031458.559628,14.653614001872484,4
144,1305031458.591641,17.39261699549388,3
145,1305031458.627659,14.679816995339934,4
146,1305031458.659623,15.006132001872174,1
147,1305031458.691674,13.077037001494318,2
148,1305031458.72765,14.791391004109755,4
149,1305031458.759945,13.46253799420083,2
150,1305031458.791632,14.427946000068914,1
151,1305031458.827564,18.133266996301245,4
152,1305031458.891665,14.853353997750673,7
153,1305031458.927621,14.78372499695979,4
154,1305031458.959617,14.961818000301719,3
155,1305031458.991647,12.702220999926794,3
156,1305031459.027665,14.517279996653087,4
157,1305031459.059631,17.81832199776545,1
158,1305031459.127618,15.256133003276773,1
159,1305031459.159639,14.359242995851673,2
160,1305031459.191674,14.346834999741986,3
161,1305031459.227607,15.386521998152602,3
162,1305031459.25976,17.086284002289176,7
163,1305031459.327632,16.732967997086234,3
164,1305031459.359651,13.083648002066184,0
165,1305031459.391667,14.953577003325336,0
166,1305031459.427646,13.093369998387061,0
167,1305031459.459679,12.257479997060727,0
168,1305031459.527594,14.65491000271868,0
169,1305031459.559647,15.799207001691684,1
170,1305031459.591695,16.145708003023174,3
171,1305031459.627608,14.1814640010125,7
172,1305031459.659641,15.327150998928118,5
173,1305031459.691604,16.711894000764005,7
174,1305031459.727551,12.746184998832177,5
175,1305031459.79165,15.843541004869621,7
176,1305031459.827664,15.293003001715988,6
177,1305031459.85966,12.91520399536239,5
178,1305031459.891596,14.615002000937238,5
179,1305031459.927607,14.878631998726632,5
180,1305031459.991725,14.731556999322493,7
181,1305031460.027565,15.366002997325268,6
182,1305031460.059659,16.884524004126433,8
183,1305031460.091717,15.161633004026953,2
184,1305031460.12769,15.706170997873414,4
185,1305031460.159678,17.293561999395024,5
186,1305031460.191559,17.207764998602215,5
187,1305031460.227761,14.144241999019869,4
188,1305031460.291689,15.758503002871294,4
189,1305031460.327512,15.030743001261726,4
190,1305031460.391611,14.433575997827575,5
191,1305031460.427477,14.899595000315458,3
192,1305031460.45962,13.892482995288447,3
193,1305031460.491504,16.051744001742918,4
194,1305031460.52757,15.07124400086468,7
195,1305031460.559647,16.671356999722775,7
196,1305031460.591855,14.572817002772354,6
197,1305031460.627625,15.334299001551699,6
198,1305031460.659764,15.05407700460637,5
199,1305031460.691671,14.38500199583359,5
200,1305031460.727675,13.572853000368923,5
201,1305031460.759667,15.359706994786393,4
202,1305031460.79166,15.243466004903894,5
203,1305031460.82766,17.361969003104605,6
204,1305031460.859714,16.696448998118285,4
205,1305031460.891774,17.47417300066445,5
206,1305031460.927562,17.2990610008128,4
207,1305031460.991668,15.30718799767783,4
208,1305031461.02762,16.79183899977943,3
209,1305031461.091728,14.73024299775716,7
210,1305031461.127586,14.20502000109991,4
211,1305031461.15972,17.610080001759343,3
212,1305031461.192013,18.401284993160516,6
213,1305031461.227607,13.522130000637844,4
214,1305031461.259642,15.164169002673589,5
215,1305031461.291656,12.891833001049235,3
216,1305031461.327751,13.83531600004062,5
217,1305031461.359709,15.893429001152981,4
218,1305031461.391708,14.992132004408631,5
219,1305031461.427624,18.547526000475045,6
