#frame timestamp_s tracking_time_s
129 1305031458.091690063 0.059978969
130 1305031458.127604961 0.060090523
131 1305031458.159637928 0.060122781
132 1305031458.191646099 0.060146671
133 1305031458.227611065 0.060183633
134 1305031458.259933949 0.060294893
135 1305031458.291663885 0.060314614
136 1305031458.327627897 0.060319781
137 1305031458.359590054 0.060375407
138 1305031458.391625881 0.060380872
139 1305031458.427598000 0.060430873
140 1305031458.459636927 0.060481649
141 1305031458.491695881 0.060542684
142 1305031458.527736902 0.060762886
143 1305031458.559628010 0.060765054
144 1305031458.591640949 0.060865663
145 1305031458.627659082 0.060899235
146 1305031458.659622908 0.060956530
147 1305031458.691673994 0.061069384
148 1305031458.727649927 0.061097272
149 1305031458.759944916 0.061242808
150 1305031458.791631937 0.061260287
151 1305031458.827564001 0.061296120
152 1305031458.891664982 0.061303843
153 1305031458.927620888 0.061392415
154 1305031458.959616899 0.061442897
155 1305031458.991647005 0.061452284
156 1305031459.027664900 0.061466232
157 1305031459.059631109 0.061476823
158 1305031459.127618074 0.061505713
159 1305031459.159638882 0.061532822
160 1305031459.191673994 0.061593268
161 1305031459.227607012 0.061595120
162 1305031459.259759903 0.061607711
163 1305031459.327631950 0.061636802
164 1305031459.359651089 0.061698969
165 1305031459.391666889 0.061710339
166 1305031459.427645922 0.061717339
167 1305031459.459678888 0.062134631
168 1305031459.527594090 0.062139966
169 1305031459.559647083 0.062204000
170 1305031459.591695070 0.062225629
171 1305031459.627608061 0.062244795
172 1305031459.659641027 0.062350295
173 1305031459.691603899 0.062367793
174 1305031459.727550983 0.062401999
175 1305031459.791650057 0.062512830
176 1305031459.827663898 0.062665641
177 1305031459.859659910 0.062665679
178 1305031459.891596079 0.062690087
179 1305031459.927607059 0.062696405
180 1305031459.991724968 0.062801234
181 1305031460.027565002 0.062829196
182 1305031460.059659004 0.062997267
183 1305031460.091717005 0.063019715
184 1305031460.127690077 0.063024990
185 1305031460.159677982 0.063026734
186 1305031460.191559076 0.063081421
187 1305031460.227761030 0.063175082
188 1305031460.291688919 0.063179106
189 1305031460.327512026 0.063263103
190 1305031460.391611099 0.063379765
191 1305031460.427476883 0.063380338
192 1305031460.459619999 0.063413084
193 1305031460.491503954 0.063572280
194 1305031460.527570009 0.063576415
195 1305031460.559647083 0.063677855
196 1305031460.591855049 0.063697204
197 1305031460.627624989 0.063710578
198 1305031460.659764051 0.063777283
199 1305031460.691670895 0.063862480
200 1305031460.727674961 0.063901998
201 1305031460.759666920 0.063912466
202 1305031460.791660070 0.064053908
203 1305031460.827660084 0.064259477
204 1305031460.859714031 0.064294755
205 1305031460.891773939 0.064319149
206 1305031460.927561998 0.064360902
207 1305031460.991667986 0.064369015
208 1305031461.027620077 0.064386494
209 1305031461.091727972 0.064416438
210 1305031461.127585888 0.064441994
211 1305031461.159719944 0.064562768
212 1305031461.192013025 0.064630181
213 1305031461.227607012 0.064692102
214 1305031461.259641886 0.064696163
215 1305031461.291656017 0.064696163
216 1305031461.327750921 0.064787306
217 1305031461.359709024 0.064880379
218 1305031461.391707897 0.064890139
219 1305031461.427623987 0.065089099
220 1305031461.459780931 0.065217502
221 1305031461.491677046 0.065316133
222 1305031461.527704954 0.065332964
223 1305031461.559676886 0.065406784
224 1305031461.591690063 0.065425821
225 1305031461.627541065 0.065496765
226 1305031461.659621954 0.065523043
227 1305031461.691562891 0.065555356
228 1305031461.727602005 0.065571003
229 1305031461.759684086 0.065580003
230 1305031461.791611910 0.065665610
231 1305031461.827615023 0.065674350
232 1305031461.859766960 0.065693758
233 1305031461.891722918 0.065967590
234 1305031461.927757978 0.066012830
235 1305031461.959702969 0.066133626
236 1305031461.991590023 0.066210456
237 1305031462.027674913 0.066237979
238 1305031462.059837103 0.066257603
239 1305031462.091777086 0.066266589
240 1305031462.127738953 0.066270865
241 1305031462.159646034 0.066276550
242 1305031462.191641092 0.066311754
243 1305031462.227632999 0.066364214
244 1305031462.259764910 0.066364601
245 1305031462.291629076 0.066389866
246 1305031462.327539921 0.066429712
247 1305031462.359731913 0.066536695
248 1305031462.391695023 0.066581085
249 1305031462.427634954 0.066608474
250 1305031462.459897041 0.066629007
251 1305031462.492007971 0.066684455
252 1305031462.527669907 0.066751324
253 1305031462.559861898 0.066878378
254 1305031462.591861963 0.066898897
255 1305031462.627851009 0.066934817
256 1305031462.659660101 0.066967212
257 1305031462.692548037 0.067107096
258 1305031462.727652073 0.067140967
259 1305031462.759782076 0.067261040
260 1305031462.791943073 0.067390189
261 1305031462.827816010 0.067457370
262 1305031462.859781981 0.067497075
263 1305031462.891846895 0.067662299
264 1305031462.927607059 0.067685127
265 1305031462.959676027 0.067727461
266 1305031462.995549917 0.067753553
267 1305031463.027667046 0.067754962
268 1305031463.059809923 0.068021677
269 1305031463.095808983 0.068197198
270 1305031463.127549887 0.068236455
271 1305031463.159786940 0.068281248
272 1305031463.195657015 0.068286397
273 1305031463.227783918 0.068645284
274 1305031463.260034084 0.068739630
275 1305031463.295737028 0.068803839
276 1305031463.327739000 0.068813875
277 1305031463.359750032 0.068957895
278 1305031463.395629883 0.069138169
279 1305031463.427716017 0.069213152
280 1305031463.459755898 0.069457591
281 1305031463.495629072 0.069825292
282 1305031463.527669907 0.069876179
283 1305031463.559751034 0.069906659
284 1305031463.595599890 0.069970362
285 1305031463.627588034 0.069986805
286 1305031463.659765959 0.070037618
287 1305031463.695640087 0.070139602
288 1305031463.727587938 0.070220470
289 1305031463.759674072 0.070274152
290 1305031463.795646906 0.070334472
291 1305031463.827760935 0.070420004
292 1305031463.859910011 0.070462152
293 1305031463.895648003 0.070500746
294 1305031463.927664042 0.070542395
295 1305031463.959680080 0.070617132
296 1305031463.995820999 0.070712559
297 1305031464.027703047 0.070725314
298 1305031464.059652090 0.070726395
299 1305031464.095633984 0.070763022
300 1305031464.127681017 0.070831127
301 1305031464.159816980 0.070851170
302 1305031464.195585012 0.071026683
303 1305031464.227623940 0.071053773
304 1305031464.259644032 0.071085684
305 1305031464.295666933 0.071089275
