Method,ATE RMSE [m],RPE RMSE (d=1),RPE RMSE (d=10),RPE RMSE (d=100)
ORB-SLAM3 Vanilla,0.8102923245683544,0.8519150298924717,8.50836538003901,76.962151598607
Drift Corrector Only,0.6917898917092477,0.8564694059706482,8.55355936560533,77.35183267170476
Vanilla + GPS EKF,0.8113087715112642,0.9026764143159187,9.074238297076915,82.83636063910973
Drift Corrector + GPS EKF,0.7001789622194726,0.9052523744367967,9.098892454984233,83.03845161749985
GPS Only,0.7517101483156424,0.6854637685863223,6.810106385634317,60.44415160806833
