frame,ate_error_m,timestamp
0,3.286407906290395,0.0
1,2.8990287589805295,0.1037359
2,2.72181241427501,0.2073381
3,2.6025448488107013,0.3110752
4,2.488446606845245,0.4146917
5,2.3752373830009383,0.5184302
6,2.2659459492434673,0.6220448
7,2.1675347647834737,0.7257977
8,2.08330947470712,0.8294199
9,2.0119814397984577,0.9331467
10,1.9555909185875382,1.03691
11,1.9081546894852108,1.140497
12,1.869865405587047,1.244242
13,1.8376882820358789,1.347979
14,1.813947412715001,1.451596
15,1.8050541006312892,1.555212
16,1.7939108293588937,1.65896
17,1.7868755158518552,1.762569
18,1.7729204303938977,1.866302
19,1.7575353268545408,1.969923
20,1.7446807516905087,2.073666
21,1.7327879818332939,2.177281
22,1.7202925506615125,2.281017
23,1.7115231313652326,2.384639
24,1.6995803672037277,2.48825
25,1.6863893726947499,2.591988
26,1.6735972064770726,2.695832
27,1.6651070460945858,2.799367
28,1.659373644194579,2.903084
29,1.6568857745073682,3.006768
30,1.647968019249661,3.110441
31,1.6347520150300634,3.214057
32,1.6241520126447355,3.317669
33,1.6096286878161294,3.421285
34,1.5976492205558221,3.524925
35,1.5849084920413776,3.628545
36,1.5781067210030468,3.732256
37,1.5716542654005816,3.835871
38,1.563655196028278,3.939488
39,1.5323188351990693,4.043107
40,1.4564379621125054,4.146888
41,1.4038234065286372,4.25046
42,1.3492642924252776,4.354202
43,1.3001869030970368,4.45794
44,1.2494791218480577,4.561559
45,1.215017305419983,4.665293
46,1.1745808547796934,4.768912
47,1.1491719565125935,4.872532
48,1.1282514944897237,4.976146
49,1.115749353595809,5.079909
50,1.1030449007275867,5.183503
51,1.086972136645198,5.287117
52,1.0760723929596485,5.390861
53,1.069518670283771,5.494473
54,1.0555533274342557,5.598233
55,1.0407004363925774,5.701829
56,1.0302547074160266,5.805571
57,1.0226581272540667,5.909185
58,1.0161275972292374,6.012921
59,1.0037231522171612,6.116541
60,0.9945887289581841,6.220278
61,0.9827641435358706,6.323895
62,0.9696552589582476,6.427659
63,0.9612078203388215,6.531383
64,0.9517478046607114,6.634992
65,0.951279254319539,6.738741
66,0.948747351661559,6.84235
67,0.9395465068432081,6.945963
68,0.93049357255473,7.049705
69,0.9263984712032094,7.153323
70,0.9261021100227412,7.256934
71,0.9261773707309746,7.360549
72,0.9244801999556252,7.464167
73,0.9229114922475513,7.567786
74,0.9191224278279482,7.671396
75,0.9148067873874607,7.775144
76,0.907320924551998,7.878754
77,0.9031209815361466,7.982493
78,0.8989833333999854,8.086111
79,0.8978546535001781,8.189849
80,0.8954054187119221,8.29347
81,0.892002740857368,8.397102
82,0.8857922498979748,8.500847
83,0.8831338770534072,8.604438
84,0.8874688067173477,8.708175
85,0.8913356824648139,8.811795
86,0.9017867160719696,8.915403
87,0.9082988246768542,9.019162
88,0.9107426362725403,9.12289
89,0.911965080556861,9.226512
90,0.9123290327733193,9.330247
91,0.9147383219427524,9.433986
92,0.9216027634697314,9.537749
93,0.9282038412917516,9.641587
94,0.9305698785081606,9.745342
95,0.9367962905534938,9.849229
96,0.9452758533751908,9.953059
97,0.9526301886739117,10.05693
98,0.9550222415878548,10.16083
99,0.9645085779973086,10.26466
100,0.9678837146634388,10.36867
101,0.9725744666914203,10.47264
102,0.9693884491916064,10.57663
103,0.9608172721991356,10.68062
104,0.9714895617892392,10.78461
105,0.9663726165348591,10.88875
106,0.9647998582599698,10.99272
107,0.9829413179392925,11.09659
108,0.9870624138375463,11.20057
109,1.0086510028464442,11.30431
110,1.0015078996840063,11.40818
111,0.9938127727824532,11.51192
112,1.0024238708329922,11.61553
113,0.9980026008174306,11.71927
114,0.9966428822193986,11.82277
115,0.9798800658706522,11.92638
116,0.9614747853827831,12.03
117,0.9551472887748315,12.13361
118,0.9420458410485203,12.2371
119,0.9238487111119251,12.3406
