frame,ate_error_m,timestamp
0,2.9347706158920293,0.0
1,2.534647756888074,0.1037359
2,2.359835676574515,0.2073381
3,2.250287519809627,0.3110752
4,2.1476400282183206,0.4146917
5,2.04415910275853,0.5184302
6,1.9492616867066115,0.6220448
7,1.8635511460291392,0.7257977
8,1.7944851003175077,0.8294199
9,1.735948429764914,0.9331467
10,1.69027085984919,1.03691
11,1.649898787780031,1.140497
12,1.6147385793770328,1.244242
13,1.5840994462330575,1.347979
14,1.56074062276821,1.451596
15,1.5494052474037425,1.555212
16,1.5397151385017955,1.65896
17,1.5290763163925913,1.762569
18,1.5165393301920493,1.866302
19,1.5079305183290255,1.969923
20,1.494872053774573,2.073666
21,1.4823171563771915,2.177281
22,1.4720138169658192,2.281017
23,1.463023716227086,2.384639
24,1.4562854736771464,2.48825
25,1.4457224857242552,2.591988
26,1.4369453973947028,2.695832
27,1.4308063956492065,2.799367
28,1.4269994172312719,2.903084
29,1.4263121648369526,3.006768
30,1.4233464733985586,3.110441
31,1.4159721085892223,3.214057
32,1.415511925845364,3.317669
33,1.4093336066715594,3.421285
34,1.4037595664526665,3.524925
35,1.391079382151002,3.628545
36,1.3849382376337398,3.732256
37,1.3768601027905973,3.835871
38,1.370350977535027,3.939488
39,1.3434605420587253,4.043107
40,1.2638656230495022,4.146888
41,1.2043258722243957,4.25046
42,1.14761046322106,4.354202
43,1.0941051572327496,4.45794
44,1.0420121821293729,4.561559
45,1.0111993452566783,4.665293
46,0.9826920382291745,4.768912
47,0.9594676371585189,4.872532
48,0.9404892194295505,4.976146
49,0.9326407784999143,5.079909
50,0.9248633756943775,5.183503
51,0.9103713780953024,5.287117
52,0.9007431901900186,5.390861
53,0.8969648648510873,5.494473
54,0.8821462732577176,5.598233
55,0.872905828344485,5.701829
56,0.8639243447297638,5.805571
57,0.8528584350406024,5.909185
58,0.8438228933467825,6.012921
59,0.8280169565732836,6.116541
60,0.8173615373081751,6.220278
61,0.8052396864315844,6.323895
62,0.7929880416089526,6.427659
63,0.7918354871766196,6.531383
64,0.7859164604460893,6.634992
65,0.7832587322870097,6.738741
66,0.786298175198491,6.84235
67,0.779579864357209,6.945963
68,0.7711821306884877,7.049705
69,0.7639805299811666,7.153323
70,0.7598691826923577,7.256934
71,0.7561966917388007,7.360549
72,0.7564267597104873,7.464167
73,0.7580428758710109,7.567786
74,0.755516573631983,7.671396
