Pipeline,Frames,SLAM mean [ms],SLAM median [ms],YOLO mean [ms],YOLO median [ms],Pipeline mean [ms],Pipeline median [ms],Pipeline max [ms]
ORB-SLAM3 Drift ON,573,77.60641645724259,70.037618,0.0,0.0,77.60641645724259,70.037618,233.663753
Drift ON + YOLOv8n CPU (COCO),573,77.60641645724259,70.037618,607.8066036755827,582.620647001022,685.4130201328253,658.146185999421,974.047597994727
Drift ON + YOLOv8n Hailo (COCO),573,77.60641645724259,70.037618,16.269081321021382,15.85696700203698,93.87549777826398,87.06856199749919,254.72807699887127
