frame,ate_error_m,timestamp
0,2.908861859451144,0.0
1,2.7090079019595166,0.1037359
2,2.534670010369063,0.2073381
3,2.3809560218708805,0.3110752
4,2.2466169136303615,0.4146917
5,2.1201847367125684,0.5184302
6,2.0151604775047396,0.6220448
7,1.9192388034639027,0.7257977
8,1.8472453118596406,0.8294199
9,1.778460799334945,0.9331467
10,1.7280586282071908,1.03691
11,1.6758199170438286,1.140497
12,1.6328459630656014,1.244242
13,1.5985071312443953,1.347979
14,1.5723648493504088,1.451596
15,1.5625191241373593,1.555212
16,1.5544441358396195,1.65896
17,1.5429084846389491,1.762569
18,1.5331524164565538,1.866302
19,1.5335352953331856,1.969923
20,1.5140724463612967,2.073666
21,1.5026907395603335,2.177281
22,1.4984995906087006,2.281017
23,1.4860655627111057,2.384639
24,1.4814594648659265,2.48825
25,1.4690723598925168,2.591988
26,1.4639551548927365,2.695832
27,1.4560530848467041,2.799367
28,1.4517925662653546,2.903084
29,1.4502888716649056,3.006768
30,1.4419963209406326,3.110441
31,1.429825627096163,3.214057
32,1.4405776533727934,3.317669
33,1.4322888453925726,3.421285
34,1.4301754930707522,3.524925
35,1.4124608096622957,3.628545
36,1.4054985655256578,3.732256
37,1.3954419336290582,3.835871
38,1.3924629050470552,3.939488
39,1.3717850201010782,4.043107
40,1.278613834035147,4.146888
41,1.2279888635014737,4.25046
42,1.1762956609957,4.354202
43,1.1129047846930733,4.45794
44,1.0718754056774251,4.561559
45,1.048139127174613,4.665293
46,1.026626940239083,4.768912
47,0.9941646290851196,4.872532
48,0.977063083981897,4.976146
49,0.9741037506418136,5.079909
50,0.965863462601426,5.183503
51,0.9448334450886916,5.287117
52,0.9330494759993594,5.390861
53,0.9322201019944049,5.494473
54,0.9096065467059333,5.598233
55,0.9110940020238227,5.701829
56,0.9012995616914401,5.805571
57,0.8847730269945698,5.909185
58,0.8728982036313642,6.012921
59,0.8536844761745657,6.116541
60,0.844704214720068,6.220278
61,0.8388679019967644,6.323895
62,0.8271523911851875,6.427659
63,0.8302177841191062,6.531383
64,0.8173724916128146,6.634992
65,0.8103881302090561,6.738741
66,0.8223700301522625,6.84235
67,0.8118410665569974,6.945963
68,0.8070214115321902,7.049705
69,0.7996801180560517,7.153323
70,0.7978581904870397,7.256934
71,0.7942034216179593,7.360549
72,0.7996255025161174,7.464167
73,0.8000462350381211,7.567786
74,0.7901500691858616,7.671396
75,0.787659550394449,7.775144
76,0.7848624701927643,7.878754
77,0.7911792624117829,7.982493
78,0.7750057390314142,8.086111
79,0.7682965031294885,8.189849
80,0.7706050804313263,8.29347
81,0.7678621977729305,8.397102
82,0.7737541676832745,8.500847
83,0.7725894842417524,8.604438
84,0.7693289248698945,8.708175
85,0.7750958179537001,8.811795
86,0.7773470847530318,8.915403
87,0.7822982741273617,9.019162
88,0.7818780480945611,9.12289
89,0.7804050803716168,9.226512
90,0.777549087675623,9.330247
91,0.780289284996186,9.433986
92,0.7782674364279873,9.537749
93,0.782472066177333,9.641587
94,0.7874292052827487,9.745342
95,0.800747124538666,9.849229
96,0.7998223706286277,9.953059
97,0.8012910410532817,10.05693
98,0.7865717381430263,10.16083
99,0.7955107507819157,10.26466
100,0.8024957845266454,10.36867
101,0.7965286688545604,10.47264
102,0.7877322105420638,10.57663
103,0.7867181338781706,10.68062
104,0.7577055294561539,10.78461
105,0.7617150343212236,10.88875
106,0.7546000004129608,10.99272
107,0.7727959185747107,11.09659
108,0.7772715472810033,11.20057
109,0.8001494269604712,11.30431
110,0.7782299193689121,11.40818
111,0.7565889296917947,11.51192
112,0.7667103869293916,11.61553
113,0.7662186394058828,11.71927
114,0.7689726419866281,11.82277
115,0.7599016095119568,11.92638
116,0.7549514594759308,12.03
117,0.7649788043353084,12.13361
118,0.7497133425226524,12.2371
119,0.7549399220455126,12.3406
120,0.7527003198103703,12.44411
121,0.7396941990178143,12.54767
122,0.733310134379191,12.65107
123,0.7274761142910668,12.75469
124,0.7285441865364595,12.85806
125,0.7203156187201099,12.96167
126,0.7164574695907829,13.0652
127,0.7080602266121379,13.16877
128,0.703690424173793,13.27235
129,0.6986730518219161,13.37588
130,0.6942681221198115,13.4795
131,0.6895007185758394,13.58311
132,0.6906030698083735,13.68672
133,0.6878442199499574,13.79034
134,0.6892024904289885,13.89395
135,0.6870524091627159,13.99767
136,0.6796238008476861,14.1013
137,0.6721152423250356,14.20492
138,0.6809536956728951,14.30854
139,0.681132061974954,14.41227
140,0.6826749448625898,14.51589
141,0.6809604499208488,14.61968
142,0.6860929760614207,14.72326
143,0.6871180702222787,14.82686
144,0.6888742842379995,14.93048
145,0.6907832281512332,15.0341
146,0.6855150597851425,15.13784
147,0.6861142486047571,15.24145
148,0.6812953119003009,15.34508
149,0.6768076005533686,15.44881
150,0.6788769538734927,15.55255
151,0.669897657037078,15.65617
152,0.6590056027240333,15.7599
153,0.6498981704714226,15.86364
154,0.6361098084164876,15.96739
155,0.6353613580615575,16.07102
156,0.6314751317267197,16.17474
157,0.6329411339725076,16.27845
158,0.6343525887099207,16.38209
159,0.632294366563685,16.48571
160,0.6283252532787816,16.58933
161,0.6151944692452654,16.69309
162,0.6095383186829172,16.79668
163,0.6091951016226954,16.90043
164,0.5936867165122697,17.00419
165,0.5892721437283283,17.1079
166,0.5844032492024441,17.21165
167,0.5833327461888441,17.31539
168,0.5755637041506734,17.41915
169,0.577190957002084,17.52287
170,0.5703877062511165,17.62648
171,0.5714179034838871,17.73022
172,0.5720351399554818,17.83384
173,0.5586151724926544,17.93746
174,0.5593297452015173,18.0412
175,0.5517465996115153,18.14482
176,0.5690746519353972,18.24855
177,0.5698867300326748,18.35217
178,0.5688765317151521,18.45593
179,0.574450353760533,18.55957
180,0.562136622204457,18.66326
181,0.5545306102403741,18.76688
182,0.5564353211047697,18.87049
183,0.5580172599905606,18.97411
184,0.5647350424274623,19.07772
185,0.5610614094406661,19.18141
186,0.5628806839979421,19.28502
187,0.5571868762432963,19.38868
188,0.556962188817996,19.49224
189,0.5612226423614202,19.5958
190,0.5585251257353482,19.69941
191,0.5705821960440615,19.80291
192,0.5509041166827091,19.90652
193,0.549963427078157,20.01002
194,0.5571728186539998,20.1135
195,0.5557331759222045,20.21714
196,0.5229334470742522,20.32061
197,0.537702697788444,20.4241
198,0.5258432752497777,20.52747
199,0.5220165255674712,20.63096
200,0.5211156249996739,20.73444
201,0.5175977647786337,20.83796
202,0.5039556422988095,20.94151
203,0.5087577416871834,21.04502
204,0.49169107249940514,21.14837
205,0.5049451363654555,21.2519
206,0.4951252635652462,21.35544
207,0.47512051486934626,21.459
208,0.4851024116301405,21.56272
209,0.4861151994701151,21.66636
210,0.4987363051827312,21.7701
211,0.5032209832568685,21.87395
212,0.49561465149561,21.97771
213,0.4874512225486274,22.08144
214,0.46365516646471805,22.18531
215,0.4138547523033443,22.28917
216,0.3992283154982476,22.39317
217,0.40413503453485017,22.49716
218,0.39627083430834,22.60129
219,0.3989654156101056,22.70551
220,0.4053809940828685,22.80964
221,0.40292554153215926,22.91366
222,0.40389072642699486,23.01761
223,0.3940159633284096,23.12172
