#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,79.399247,4.819878,0.000000,26.741660,14.469134,0.070851,109.767463
0.000000,0.000000,72.629445,4.351938,0.000000,11.682199,12.741262,0.075462,102.753403
0.000000,0.000000,79.564264,4.634416,0.000000,30.035405,25.677485,0.069221,107.275581
0.000000,0.000000,0.000000,0.000000,0.000000,24.622681,27.665744,0.069388,105.837762
0.000000,0.000000,88.180622,4.584677,0.000000,24.519590,25.624060,0.057166,94.942759
0.000000,0.000000,75.483324,4.994803,0.000000,19.900265,25.587393,0.086370,104.012207
0.000000,0.000000,80.513328,4.990562,0.000000,16.698871,17.631676,0.074240,88.381529
0.000000,0.000000,75.707136,4.517993,0.000000,23.580525,21.391861,0.069518,101.268567
0.000000,0.000000,81.012509,2.511289,0.000000,20.460686,23.593451,0.089740,85.485224
0.000000,0.000000,94.673540,5.068024,0.000000,24.344462,27.798779,0.067037,122.948740
0.000000,0.000000,72.401354,4.733953,0.000000,21.945041,31.893072,0.064592,79.200564
0.000000,0.000000,78.048372,5.122505,0.000000,22.430777,23.714561,0.083796,105.846577
0.000000,0.000000,84.458382,4.601695,0.000000,16.375671,23.077770,0.068055,91.683162
0.000000,0.000000,78.574329,4.901044,0.000000,22.850791,26.782363,0.069944,106.204814
0.000000,0.000000,89.360611,4.400271,0.000000,22.777681,27.505579,0.091870,95.655771
0.000000,0.000000,70.565001,4.538585,0.000000,16.086192,19.029070,0.087128,96.608132
0.000000,0.000000,76.259686,3.671427,0.000000,19.442751,20.011523,0.100685,81.856853
0.000000,0.000000,84.201959,3.176264,0.000000,22.275372,29.476485,0.066666,131.068512
0.000000,0.000000,77.203251,3.806925,0.000000,16.924535,20.575870,0.060555,108.252720
0.000000,0.000000,70.420355,4.455234,0.000000,19.674137,23.755763,0.099702,132.255018
0.000000,0.000000,81.104971,4.372456,0.000000,18.907108,21.657951,0.075296,139.601630
0.000000,0.000000,84.126219,3.224060,0.000000,16.774333,22.736497,0.071981,139.313800
0.000000,0.000000,75.844135,3.318782,0.000000,16.022415,28.035333,0.073148,126.916497
0.000000,0.000000,70.723112,3.652612,0.000000,18.287319,21.285992,0.081611,110.346422
0.000000,0.000000,66.960112,3.395022,0.000000,18.600723,21.513249,0.084425,116.849801
0.000000,0.000000,70.728167,3.787499,0.000000,19.983320,22.162335,0.064962,120.366748
0.000000,0.000000,72.209689,7.787071,0.000000,18.748277,27.324821,0.082240,134.010575
0.000000,0.000000,83.064897,4.491714,0.000000,16.258117,25.170472,0.099407,143.276408
0.000000,0.000000,72.474687,3.630075,0.000000,20.306465,23.024864,0.087573,123.902398
