frame,timestamp_s,yolo_ms,detections
220,1305031461.459781,754.4603339993046,6
221,1305031461.491677,764.3045170043479,5
222,1305031461.527705,600.2571440039901,8
223,1305031461.559677,573.2034699976793,7
224,1305031461.59169,591.852582001593,7
225,1305031461.627541,569.7522990012658,6
226,1305031461.659622,568.3967980003217,5
227,1305031461.691563,693.3505670021987,6
228,1305031461.727602,763.3255129985628,10
229,1305031461.759684,688.4861330036074,8
230,1305031461.791612,592.8442900039954,6
231,1305031461.827615,568.833913996059,5
232,1305031461.859767,514.89383399894,6
233,1305031461.891723,555.0628729979508,4
234,1305031461.927758,583.9873350050766,5
235,1305031461.959703,709.964821995527,4
236,1305031461.99159,710.8915049975622,4
237,1305031462.027675,596.6400870020152,3
238,1305031462.059837,585.5982330031111,4
239,1305031462.091777,549.1063580047921,4
240,1305031462.127739,573.8434320010128,5
241,1305031462.159646,589.4833929996821,5
242,1305031462.191641,692.5650049961405,7
243,1305031462.227633,772.8222270015976,6
244,1305031462.259765,678.5012589971302,5
245,1305031462.291629,569.3376039998839,5
246,1305031462.32754,589.3155300000217,5
247,1305031462.359732,553.7453409997397,3
248,1305031462.391695,542.1424510059296,3
249,1305031462.427635,546.3144109962741,4
250,1305031462.459897,668.2248349970905,4
251,1305031462.492008,684.0674990016851,4
252,1305031462.52767,598.1562739980291,6
253,1305031462.559862,528.5403840025538,5
254,1305031462.591862,535.4926789950696,3
255,1305031462.627851,651.5272300021024,5
256,1305031462.65966,546.2499530040077,5
257,1305031462.692548,517.7867089951178,4
258,1305031462.727652,785.4047190048732,5
259,1305031462.759782,706.5411630028393,3
260,1305031462.791943,539.178405997518,5
261,1305031462.827816,536.7580889942474,3
262,1305031462.859782,542.157549993135,2
263,1305031462.891847,514.575845998479,3
264,1305031462.927607,529.1592879948439,4
265,1305031462.959676,546.5015260051587,3
266,1305031462.99555,690.2827759986394,3
267,1305031463.027667,669.6239590019104,3
268,1305031463.05981,535.359891000553,5
269,1305031463.095809,532.0447420017445,4
270,1305031463.12755,513.2275180003489,4
271,1305031463.159787,496.73822200566065,3
272,1305031463.195657,526.5629580026143,3
273,1305031463.227784,521.7635329972836,5
274,1305031463.260034,687.9922179941786,5
275,1305031463.295737,716.5626770001836,5
276,1305031463.327739,574.8384469989105,5
277,1305031463.35975,548.6846130006597,3
278,1305031463.39563,554.0968889981741,7
279,1305031463.427716,523.6315750007634,8
280,1305031463.459756,526.0336110004573,6
281,1305031463.495629,510.40909199946327,6
282,1305031463.52767,690.5848469978082,7
283,1305031463.559751,653.2732380001107,5
284,1305031463.5956,630.399588997534,6
285,1305031463.627588,572.7653349968023,5
286,1305031463.659766,573.3651670016116,3
287,1305031463.69564,579.3925519974437,6
288,1305031463.727588,590.3827530055423,4
289,1305031463.759674,611.1522110004444,4
290,1305031463.795647,748.76776200108,5
291,1305031463.827761,685.4076949966839,4
292,1305031463.85991,525.5805310007418,7
293,1305031463.895648,540.5156940032612,6
294,1305031463.927664,548.2032470026752,7
295,1305031463.95968,537.6904680015286,6
296,1305031463.995821,527.986024004349,8
297,1305031464.027703,580.4663460003212,7
298,1305031464.059652,721.4535419989261,8
299,1305031464.095634,695.4142109971144,5
300,1305031464.127681,566.7248219979228,8
301,1305031464.159817,591.7965580010787,4
302,1305031464.195585,499.032536004961,4
303,1305031464.227624,608.7289939969196,6
304,1305031464.259644,589.999052004714,5
305,1305031464.295667,782.7296589966863,4
306,1305031464.327866,753.1127170004766,5
307,1305031464.359684,630.37331400119,6
308,1305031464.395611,582.2054510063026,5
309,1305031464.427634,568.0389519984601,8
310,1305031464.459689,569.5049869973445,7
311,1305031464.495633,572.6981689949753,8
312,1305031464.527574,707.9257110017352,7
313,1305031464.559703,723.2170010029222,6
314,1305031464.595698,730.0651440018555,4
315,1305031464.627672,587.7755269975751,3
316,1305031464.659749,531.6270570037887,3
317,1305031464.695663,568.6503239994636,2
318,1305031464.727652,587.3200030036969,4
319,1305031464.75974,588.9699250037665,4
320,1305031464.796021,758.1977329973597,3
321,1305031464.827759,717.4380919968826,3
322,1305031464.859654,609.2017100017983,3
323,1305031464.895817,566.040477999195,4
324,1305031464.927799,585.6857309991028,4
325,1305031464.959763,584.9840619994211,5
326,1305031464.995687,549.382199998945,5
327,1305031465.027823,660.0280179991387,5
328,1305031465.059749,743.1588809995446,4
329,1305031465.0957,710.4950540015125,0
330,1305031465.127664,584.8181609981111,1
331,1305031465.159842,573.6454780053464,1
332,1305031465.195564,577.6355310008512,4
333,1305031465.227907,577.1121209982084,2
334,1305031465.259807,599.1569649995654,5
335,1305031465.295623,758.4247639970272,7
336,1305031465.327674,762.0254450011998,6
337,1305031465.359948,581.8196659965906,3
338,1305031465.395586,579.3198690007557,8
339,1305031465.427697,567.5449080008548,7
340,1305031465.460125,576.6406080001616,6
341,1305031465.495703,587.2433969998383,6
342,1305031465.527622,727.7495520029333,4
343,1305031465.559812,712.8619249997428,5
344,1305031465.595599,662.4169939968851,6
345,1305031465.627688,575.7418369976222,6
346,1305031465.66006,586.8872209975962,4
347,1305031465.695668,592.9749190036091,7
348,1305031465.727682,571.5058329951717,4
349,1305031465.759766,651.1092840009951,4
350,1305031465.795937,705.0747059984133,6
351,1305031465.827996,733.7222290007048,6
352,1305031465.859861,633.0310060002375,4
353,1305031465.895494,583.0062070017448,5
354,1305031465.927495,539.0735740002128,6
355,1305031465.95971,582.620647001022,4
356,1305031465.995753,561.7228759947466,6
357,1305031466.027644,778.5935670035542,9
358,1305031466.059757,728.3236570001463,7
359,1305031466.09584,622.0245669974247,12
360,1305031466.12764,578.628638999362,6
361,1305031466.160428,572.3668229984469,8
362,1305031466.195833,571.1564530065516,5
363,1305031466.227951,569.6433580014855,6
364,1305031466.259815,627.816943997459,9
365,1305031466.295737,749.1746870000497,7
366,1305031466.327702,788.1322230023216,4
367,1305031466.359829,576.8056610031636,6
368,1305031466.395784,550.2242650036351,10
369,1305031466.427819,524.6490509962314,10
370,1305031466.45979,496.36596900381846,7
371,1305031466.495809,551.7092019945267,7
372,1305031466.527538,636.7632190012955,8
373,1305031466.560353,701.5394300033222,7
374,1305031466.595936,628.0494219972752,7
375,1305031466.627549,531.397464001202,9
376,1305031466.659688,542.5515690003522,6
377,1305031466.695822,539.6492720028618,7
378,1305031466.728074,545.1436760049546,8
379,1305031466.759637,549.9540770033491,9
380,1305031466.795604,598.3356840006309,6
381,1305031466.827879,644.5257340019452,7
382,1305031466.859665,634.4648660015082,8
383,1305031466.895694,529.2887670002528,8
384,1305031466.927756,573.1288909955765,7
385,1305031466.959728,541.3235720043303,8
386,1305031466.995712,543.9093649983988,8
387,1305031467.027843,537.5186999954167,8
388,1305031467.0597,686.8002170012915,8
389,1305031467.095687,682.5046610028949,6
390,1305031467.128974,572.6326209987747,8
391,1305031467.15966,549.0097239962779,7
392,1305031467.195663,499.72904400055995,5
393,1305031467.227704,547.3026109975763,7
394,1305031467.259694,530.9589140015305,7
395,1305031467.295846,540.3119449983933,6
396,1305031467.328008,589.3136389931897,7
397,1305031467.359654,653.6515490006423,8
398,1305031467.395756,626.7891349998536,8
399,1305031467.427783,527.8754250030033,7
400,1305031467.459692,520.8805759975803,6
401,1305031467.496058,532.4694199953228,7
402,1305031467.527663,531.0999940047623,8
403,1305031467.559763,538.9219499993487,7
404,1305031467.595989,599.6334349983954,8
405,1305031467.627532,668.4928210015642,6
406,1305031467.659626,636.6933359968243,9
407,1305031467.695886,546.050736993493,7
408,1305031467.727535,663.2221309992019,7
409,1305031467.759907,555.2432100012084,7
410,1305031467.796075,561.7697589987074,8
411,1305031467.8278,539.2696030030493,10
412,1305031467.859729,637.5277139959508,8
413,1305031467.895947,732.5533229959547,7
414,1305031467.927754,614.6746650047135,9
415,1305031467.959826,534.773748004227,9
416,1305031467.995754,514.6743679943029,7
417,1305031468.028107,536.7613540001912,7
418,1305031468.05985,536.4348889997927,7
419,1305031468.095867,537.6982029993087,9
420,1305031468.127816,642.0736569998553,10
421,1305031468.159864,703.0453230036073,6
422,1305031468.195985,629.4754210030078,7
423,1305031468.228158,525.3768320035306,5
424,1305031468.259754,519.0525750003872,7
425,1305031468.29583,537.7092290000292,8
426,1305031468.327847,538.6254499971983,4
427,1305031468.359787,511.9002419960452,9
428,1305031468.39586,600.1462600033847,6
429,1305031468.428025,713.8313360046595,7
430,1305031468.459759,658.7320159960655,6
431,1305031468.495809,552.8253949960344,5
432,1305031468.527756,542.9628080019029,8
433,1305031468.559739,550.0698370015016,8
434,1305031468.595768,549.6665230020881,9
435,1305031468.627626,563.1270669982769,11
436,1305031468.659579,676.54938200576,6
437,1305031468.695835,728.595642001892,6
438,1305031468.727785,610.1892899969243,8
439,1305031468.759628,539.3690199998673,11
440,1305031468.795796,512.6293880020967,7
441,1305031468.829247,533.3495029990445,8
442,1305031468.859659,506.87416700384347,9
443,1305031468.895873,537.9789780054125,9
444,1305031468.928141,624.5562350013643,10
445,1305031468.959594,689.0933370013954,9
446,1305031468.995711,640.2437560027465,7
447,1305031469.027699,525.9391279978445,5
448,1305031469.059832,539.4112089998089,6
449,1305031469.095723,532.9282129969215,4
450,1305031469.127679,542.1414259981248,5
451,1305031469.159703,531.5381740001612,4
452,1305031469.19554,721.1580600051093,8
453,1305031469.227754,656.4913609981886,9
454,1305031469.259586,614.9259439989692,8
455,1305031469.296754,547.3124330019346,6
456,1305031469.327618,507.87125599890715,5
457,1305031469.359592,531.629848999728,7
458,1305031469.395695,555.8459230014705,8
459,1305031469.427651,528.0833300057566,5
460,1305031469.459668,629.1521270031808,5
461,1305031469.495744,683.018160998472,7
462,1305031469.527622,666.1909670001478,6
463,1305031469.559645,514.1819999989821,5
464,1305031469.595755,546.6954939984134,3
465,1305031469.627752,522.4824530014303,5
466,1305031469.65959,503.96433800051454,6
467,1305031469.695613,519.5285270019667,5
468,1305031469.727679,584.3583499954548,5
469,1305031469.759599,729.0308149968041,5
470,1305031469.795621,711.5323059988441,5
471,1305031469.827526,576.4895530010108,4
472,1305031469.859574,558.303824000177,5
473,1305031469.895755,574.3030150042614,3
474,1305031469.927854,569.1244980043848,2
475,1305031469.959805,571.4534390062909,3
476,1305031469.995551,668.2403649974731,3
477,1305031470.027694,690.7157340028789,3
478,1305031470.059638,645.9726169996429,3
479,1305031470.095944,533.353425002133,3
480,1305031470.127633,533.2294409963652,2
481,1305031470.159626,527.0340570059489,2
482,1305031470.196092,544.0170600049896,2
483,1305031470.227618,554.5092169995769,2
484,1305031470.259965,632.7360439972836,2
485,1305031470.295718,764.3725309972069,4
486,1305031470.327644,596.9286969993846,4
487,1305031470.359624,540.9786470045219,5
488,1305031470.395823,508.41519000096014,4
489,1305031470.427641,536.7048510015593,9
490,1305031470.459721,535.0098510025418,8
491,1305031470.495686,565.3043820057064,7
