frame,ate_error_m,timestamp
0,3.192837163712466,0.0
1,3.0030747050370628,0.1037359
2,2.826057383939227,0.2073381
3,2.667461348961938,0.3110752
4,2.531363620312932,0.4146917
5,2.410501484310704,0.5184302
6,2.300532381898684,0.6220448
7,2.2084621115032985,0.7257977
8,2.129898634533145,0.8294199
9,2.0600698722165234,0.9331467
10,2.0057134457662884,1.03691
11,1.9516619353456683,1.140497
12,1.9088397529114784,1.244242
13,1.8710658827558362,1.347979
14,1.8428023069801194,1.451596
15,1.8334238488574217,1.555212
16,1.8166586132905644,1.65896
17,1.8136804072039299,1.762569
18,1.7951442296669882,1.866302
19,1.781866274478716,1.969923
20,1.7709155310864781,2.073666
21,1.758692263973851,2.177281
22,1.746933614394757,2.281017
23,1.737468094205674,2.384639
24,1.7215046195495587,2.48825
25,1.712179414569752,2.591988
26,1.701065779930409,2.695832
27,1.6919561715093587,2.799367
28,1.6845355633437462,2.903084
29,1.6804309996915594,3.006768
30,1.6614305345673954,3.110441
31,1.646340166016189,3.214057
32,1.644755878198417,3.317669
33,1.6334633131851075,3.421285
34,1.6264859770065396,3.524925
35,1.6145560498988458,3.628545
36,1.60236455595076,3.732256
37,1.597644127917535,3.835871
38,1.5905099230344204,3.939488
39,1.5635313637363863,4.043107
40,1.4865662949771268,4.146888
41,1.4416443049455858,4.25046
42,1.3830176298024057,4.354202
43,1.324711258372359,4.45794
44,1.280266268546716,4.561559
45,1.2473775517968948,4.665293
46,1.2048354131220969,4.768912
47,1.1847330286747277,4.872532
48,1.169396392445855,4.976146
49,1.1579457942074047,5.079909
50,1.1442761439215972,5.183503
51,1.1277122721461463,5.287117
52,1.1127850440613458,5.390861
53,1.1079980691879028,5.494473
54,1.090823499971236,5.598233
55,1.0783349641221964,5.701829
56,1.0715544764117801,5.805571
57,1.0642793546254243,5.909185
58,1.0509189473853635,6.012921
59,1.0355959278186462,6.116541
60,1.0261008600433716,6.220278
61,1.0179710109797173,6.323895
62,1.0056269959457693,6.427659
63,0.9957712807053706,6.531383
64,0.9860573140216536,6.634992
65,0.9877195002242192,6.738741
66,0.9833637132931499,6.84235
67,0.9769050108341294,6.945963
68,0.9722342799111744,7.049705
69,0.971607695699977,7.153323
70,0.9726735373178327,7.256934
71,0.9712669966010757,7.360549
72,0.9666142286089351,7.464167
73,0.9637327729762408,7.567786
74,0.9565583274748867,7.671396
75,0.9523574010990044,7.775144
